pid,title,position,party,electorate,twitter,facebook,email,phone,aph
KO6,Senator Gary Humphries,,Liberal Party of Australia,Australian Capital Territory,,,senator.humphries@aph.gov.au,(02) 6247 6444,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=KO6
e4t,Senator Concetta Fierravanti-Wells,,Liberal Party of Australia,New South Wales,,,senator.fierravanti-wells@aph.gov.au,(02) 4226 1700,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e4t
C16,Senator the Hon Bill Heffernan,,Liberal Party of Australia,New South Wales,,,senator.heffernan@aph.gov.au,(02) 9357 2600,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=C16
e5g,Senator Fiona Nash,Deputy Leader of The Nationals in the Senate,The Nationals,New South Wales,,,senator.nash@aph.gov.au,(02) 6382 3400,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e5g
M56,Senator Marise Payne,,Liberal Party of Australia,New South Wales,,,senator.payne@aph.gov.au,(02) 9687 8755,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M56
bv7,Senator Arthur Sinodinos AO,,Liberal Party of Australia,New South Wales,,,senator.sinodinos@aph.gov.au,(02) 9223 4388,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=bv7
00AOS,Senator the Hon Ursula Stephens,,Australian Labor Party,New South Wales,,,senator.stephens@aph.gov.au,(02) 4822 8155,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AOS
I0V,Senator John Williams,Nationals Whip in the Senate,The Nationals,New South Wales,,,senator.williams@aph.gov.au,(02) 6721 4500,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0V
00AOM,Senator the Hon Nigel Scullion,Deputy Leader of The Nationals,Country Liberal Party,Northern Territory,,,senator.scullion@aph.gov.au,(08) 8948 3555,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AOM
YE4,Senator the Hon Ronald Boswell,,The Nationals,Queensland,,,senator.boswell@aph.gov.au,(07) 3001 8150,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=YE4
